	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																		
	EPIC - ProMedica Defiance Regional Hospital		2.0.0				TRUE|FALSE																																		
last_updated_on	Line Type	Line ID	Charge Code/Package	Charge Description	DRG	Patient Type	POS	CPT	Modifiers	Rev Code	Gross Charges	Discounted Cash Price	De-Identified Minimum	De-Identified Maximum	Aetna Better Health of Ohio	Aetna HMO	Aetna Medicare	Aetna PPO	Amerihealth Caritas	Anthem HMO	Anthem Medicaid	Anthem Medicare	Anthem PPO	Buckeye	Buckeye MyCare OH Medicare	CareSource	CIGNA	FrontPath	HAP Senior Plus	Health Alliance Plan PPO	Health Ohio Network	Meridian	MMO SuperMed	OH Health Choice	Ohio PPO Connect	Paramount Elite	Paramount HMO	Paramount PPO	UHC	UHC Ohio Medicaid	VA CCN Optum
2/5/2024	CDM	1	10000002	PBB IMMUNIZADMINEACH ADDL		IP		90472	    	771	82	53.3	8.2	82	N/A	62.32	N/A	62.32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	67.9	52.4	N/A	63.96	72.98	N/A	56.74	80.36	75.44	N/A	43.46	43.46	57.07	N/A	N/A
2/5/2024	CDM	2	10000002	PBB IMMUNIZADMINEACH ADDL		OP		90472	    	771	82	53.3	8.2	82	14.85	62.32	17.22	62.32	16.34	65.03	15.3	17.22	65.03	15.74	20.78	15.44	67.9	52.4	20.57	63.96	72.98	16.45	56.74	80.36	75.44	19.67	43.46	43.46	56.5	15.59	20.5
2/5/2024	CDM	3	10000010	PBB TDAP VACCINE MED		IP		90715	    	636	102	66.3	10.2	550	N/A	77.52	N/A	77.52	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	84.46	65.18	N/A	79.56	90.78	N/A	70.58	99.96	93.84	N/A	54.06	54.06	70.99	N/A	N/A
2/5/2024	CDM	4	10000010	PBB TDAP VACCINE MED		OP		90715	    	636	102	66.3	0.01	115.24	8.69	77.52	21.42	77.52	9.56	115.24	8.95	37.63	115.24	9.21	25.85	9.04	84.46	65.18	25.59	79.56	90.78	0.01	70.58	99.96	93.84	24.46	54.06	54.06	70.28	9.12	25.5
2/5/2024	CDM	5	10000016	PBB NEW PATIENT AGE OVER 65 WITH Q0091 AND G0101		IP		99397	    	761	144	93.6	14.4	144	N/A	109.44	N/A	109.44	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	119.23	92.02	N/A	112.32	128.16	N/A	99.65	141.12	132.48	N/A	76.32	76.32	100.22	N/A	N/A
2/5/2024	CDM	6	10000016	PBB NEW PATIENT AGE OVER 65 WITH Q0091 AND G0101		OP		99397	    	761	144	93.6	14.4	144	78.77	109.44	30.24	109.44	86.65	114.19	81.13	30.24	114.19	83.5	36.49	81.92	119.23	92.02	36.13	112.32	128.16	68.79	99.65	141.12	132.48	34.54	76.32	76.32	99.22	82.71	36
2/5/2024	CDM	7	10000019	PBB EP MCARE AGE 1839 INCLUDES Q0091 AND G0101		IP		99395	    	761	144	93.6	14.4	144	N/A	109.44	N/A	109.44	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	119.23	92.02	N/A	112.32	128.16	N/A	99.65	141.12	132.48	N/A	76.32	76.32	100.22	N/A	N/A
2/5/2024	CDM	8	10000019	PBB EP MCARE AGE 1839 INCLUDES Q0091 AND G0101		OP		99395	    	761	144	93.6	14.4	144	78.77	109.44	30.24	109.44	86.65	114.19	81.13	30.24	114.19	83.5	36.49	81.92	119.23	92.02	36.13	112.32	128.16	68.79	99.65	141.12	132.48	34.54	76.32	76.32	99.22	82.71	36
2/5/2024	CDM	9	10000585	PBB INJECTION ONABOTULINUMTOXINA		IP		J0585	    	636	16	10.4	1.6	550	N/A	12.16	N/A	12.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	13.25	10.22	N/A	12.48	14.24	N/A	11.07	15.68	14.72	N/A	8.48	8.48	11.14	N/A	N/A
2/5/2024	CDM	10	10000585	PBB INJECTION ONABOTULINUMTOXINA		OP		J0585	    	636	16	10.4	1.6	18.86	6.33	12.16	3.36	12.16	6.96	18.86	6.52	6.32	18.86	6.71	4.05	6.58	13.25	10.22	4.02	12.48	14.24	3.6	11.07	15.68	14.72	3.84	8.48	8.48	11.02	6.65	4
2/5/2024	CDM	11	10001030	PBB INJECTIONDEPOMEDROL 40 MG		IP		J1030	    	636	9	5.85	0.9	550	N/A	6.84	N/A	6.84	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7.45	5.75	N/A	7.02	8.01	N/A	6.23	8.82	8.28	N/A	4.77	4.77	6.26	N/A	N/A
2/5/2024	CDM	12	10001030	PBB INJECTIONDEPOMEDROL 40 MG		OP		J1030	    	636	9	5.85	0.9	21.46	7.2	6.84	1.89	6.84	7.92	21.46	7.42	8.08	21.46	7.63	2.28	7.49	7.45	5.75	2.25	7.02	8.01	N/A	6.23	8.82	8.28	2.15	4.77	4.77	6.2	7.56	2.25
2/5/2024	CDM	13	10001050	PBB DEPO PROVERA 1 MG		IP		J1050	    	636	1	0.65	0.1	550	N/A	0.76	N/A	0.76	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.83	0.64	N/A	0.78	0.89	N/A	0.69	0.98	0.92	N/A	0.53	0.53	0.7	N/A	N/A
2/5/2024	CDM	14	10001050	PBB DEPO PROVERA 1 MG		OP		J1050	    	636	1	0.65	0.01	1	0.63	0.76	0.21	0.76	0.69	0.03	0.65	0.01	0.03	0.67	0.26	0.66	0.83	0.64	0.26	0.78	0.89	N/A	0.69	0.98	0.92	0.24	0.53	0.53	0.69	0.66	0.25
