	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																			
	EPIC - ProMedica Fostoria Community Hospital		2.0.0																																							
last_updated_on	Line Type	Line ID	Charge Code/Package	Charge Description	DRG	Patient Type	POS	CPT	Modifiers	Rev Code	Gross Charges	Discounted Cash Price	De-Identified Minimum	De-Identified Maximum	Aetna Better Health of Ohio	Aetna HMO	Aetna Medicare	Aetna PPO	Amerihealth Caritas	Anthem HMO	Anthem Medicaid	Anthem Medicare	Anthem PPO	Buckeye	Buckeye MyCare OH Medicare	CareSource	CIGNA	FrontPath	HAP Senior Plus	Health Alliance Plan PPO	Health Ohio Network	Humana Medicare	Meridian	MMO SuperMed	OH Health Choice	Ohio PPO Connect	Paramount Elite	Paramount HMO	Paramount PPO	UHC	UHC Ohio Medicaid	VA CCN Optum
2/5/2024	CDM	1	10000002	PBB IMMUNIZADMINEACH ADDL		IP		90472	    	771	71	46.15	7.1	71	N/A	47.57	N/A	47.57	N/A	45.23	N/A	N/A	45.16	N/A	N/A	N/A	56.66	29.04	N/A	53.25	56.09	N/A	N/A	46.15	63.9	53.25	N/A	37.63	37.63	43.03	N/A	N/A
2/5/2024	CDM	2	10000002	PBB IMMUNIZADMINEACH ADDL		OP		90472	    	771	71	46.15	7.1	71	14.8	47.57	17.04	47.57	16.28	45.23	15.24	17.04	45.16	15.69	19.43	15.39	56.66	29.04	19.23	53.25	56.09	18.86	16.45	46.15	63.9	53.25	18.39	37.63	37.63	44.16	15.54	19.17
2/5/2024	CDM	3	10000040	PBB INJECTIONBETAMETHASONE ACETATE PER 3MG		IP		J0702	    	250	71	46.15	7.1	71	N/A	47.57	N/A	47.57	N/A	45.23	N/A	N/A	45.16	N/A	N/A	N/A	56.66	29.04	N/A	53.25	56.09	N/A	N/A	46.15	63.9	53.25	N/A	37.63	37.63	43.03	N/A	N/A
2/5/2024	CDM	4	10000040	PBB INJECTIONBETAMETHASONE ACETATE PER 3MG		OP		J0702	    	250	71	46.15	6.41	71	6.41	47.57	17.04	47.57	7.05	19.49	6.6	6.96	19.49	6.79	19.43	6.67	56.66	29.04	19.23	53.25	56.09	18.86	N/A	46.15	63.9	53.25	18.39	37.63	37.63	44.16	6.73	19.17
2/5/2024	CDM	5	10000042	PBB INJECTION ONDANSETRON HC		IP		J2405	    	250	9	5.85	0.9	9	N/A	6.03	N/A	6.03	N/A	5.73	N/A	N/A	5.72	N/A	N/A	N/A	7.18	3.68	N/A	6.75	7.11	N/A	N/A	5.85	8.1	6.75	N/A	4.77	4.77	5.45	N/A	N/A
2/5/2024	CDM	6	10000042	PBB INJECTION ONDANSETRON HC		OP		J2405	    	250	9	5.85	0.09	9	0.09	6.03	2.16	6.03	0.1	0.27	0.09	0.11	0.27	0.1	2.46	0.09	7.18	3.68	2.43	6.75	7.11	2.39	N/A	5.85	8.1	6.75	2.33	4.77	4.77	5.6	0.09	2.43
2/5/2024	CDM	7	10000073	PBB SENSORCAINEMPF 025		IP			    	250	9	5.85	0.9	9	N/A	6.03	N/A	6.03	N/A	5.73	N/A	N/A	5.72	N/A	N/A	N/A	7.18	3.68	N/A	6.75	7.11	N/A	N/A	5.85	8.1	6.75	N/A	4.77	4.77	5.45	N/A	N/A
2/5/2024	CDM	8	10000073	PBB SENSORCAINEMPF 025		OP			    	250	9	5.85	0.9	9	N/A	6.03	2.16	6.03	N/A	5.73	N/A	2.16	5.72	N/A	2.46	N/A	7.18	3.68	2.43	6.75	7.11	2.39	N/A	5.85	8.1	6.75	2.33	4.77	4.77	5.6	N/A	2.43
