	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																									
	EPIC - ProMedica Fremont Memorial Hospital		2.0.0				TRUE|FALSE																																									
last_updated_on	Line Type	Line ID	Charge Code/Package	Charge Description	DRG	Patient Type	POS	CPT	Modifiers	Rev Code	Gross Charges	Discounted Cash Price	De-Identified Minimum	De-Identified Maximum	Aetna Better Health of Ohio	Aetna HMO	Aetna Medicare	Aetna MyCare OH Medicare	Aetna PPO	Amerihealth Caritas	Anthem HMO	Anthem Medicaid	Anthem Medicare	Anthem PPO	Buckeye	CareSource	CIGNA	FrontPath	HAP Senior Plus	Health Alliance Plan PPO	Health Ohio Network	Humana Medicare OH	Meridian	MMO SuperMed	Molina of OH	Molina of OH Medicare	Multiplan PHCS	OH Health Choice	Paramount Elite	Paramount HMO	Paramount PPO	SummaCare	SummaCare Medicare	UHC	UHC Ohio Medicaid	UHC Medicare Solutions	UHC MyCare OH Medicare	VA CCN Optum
2/15/2024	CDM	1	10000039	PBB 17 ALPHA HYDROXYPROGESTERONE CAPROATE		IP		J3490	    	250	170	110.5	17	170	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	118.49	98.94	N/A	113.9	117.3	N/A	N/A	N/A	N/A	N/A	153	N/A	N/A	73.1	73.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	2	10000039	PBB 17 ALPHA HYDROXYPROGESTERONE CAPROATE		OP		J3490	    	250	170	110.5	17	170	22.44	106.76	48.45	N/A	106.76	24.68	114.41	23.11	N/A	114.41	22.44	22.44	118.49	98.94	N/A	113.9	117.3	N/A	N/A	102	22.44	N/A	153	136	N/A	95.2	95.2	102	N/A	134.3	22.44	N/A	N/A	N/A
2/15/2024	CDM	3	10000045	PBB GLASS SYRINGE		IP			    	272	36	23.4	3.6	36	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	25.09	20.95	N/A	24.12	24.84	N/A	N/A	N/A	N/A	N/A	32.4	N/A	N/A	15.48	15.48	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	4	10000045	PBB GLASS SYRINGE		OP			    	272	36	23.4	3.6	36	N/A	22.61	10.26	N/A	22.61	N/A	24.23	N/A	N/A	24.23	N/A	N/A	25.09	20.95	N/A	24.12	24.84	N/A	N/A	21.6	N/A	N/A	32.4	28.8	N/A	20.16	20.16	21.6	N/A	28.44	N/A	N/A	N/A	N/A
2/15/2024	CDM	5	10000046	PBB STIMUPLEX NEEDLE 21GA X 4 IN		IP			    	272	72	46.8	7.2	72	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50.18	41.9	N/A	48.24	49.68	N/A	N/A	N/A	N/A	N/A	64.8	N/A	N/A	30.96	30.96	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6	10000046	PBB STIMUPLEX NEEDLE 21GA X 4 IN		OP			    	272	72	46.8	7.2	72	N/A	45.22	20.52	N/A	45.22	N/A	48.46	N/A	N/A	48.46	N/A	N/A	50.18	41.9	N/A	48.24	49.68	N/A	N/A	43.2	N/A	N/A	64.8	57.6	N/A	40.32	40.32	43.2	N/A	56.88	N/A	N/A	N/A	N/A
2/15/2024	CDM	7	10000047	PBB STIMUPLEX NEEDLE 22GA X 2 IN		IP			    	272	45	29.25	4.5	45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	31.37	26.19	N/A	30.15	31.05	N/A	N/A	N/A	N/A	N/A	40.5	N/A	N/A	19.35	19.35	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	8	10000047	PBB STIMUPLEX NEEDLE 22GA X 2 IN		OP			    	272	45	29.25	4.5	45	N/A	28.26	12.82	N/A	28.26	N/A	30.28	N/A	N/A	30.28	N/A	N/A	31.37	26.19	N/A	30.15	31.05	N/A	N/A	27	N/A	N/A	40.5	36	N/A	25.2	25.2	27	N/A	35.55	N/A	N/A	N/A	N/A
