	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																						
	EPIC - ProMedica Bay Park Hospital		2.0.0																																										
last_updated_on	Line Type	Line ID	Charge Code/Package	Charge Description	DRG	Patient Type	POS	CPT	Modifiers	Rev Code	Gross Charges	Discounted Cash Price	De-Identified Minimum	De-Identified Maximum	Aetna Better Health of Michigan	Aetna Better Health of Ohio	Aetna HMO	Aetna Medicare	Aetna Meritain	Aetna MyCare OH Medicare	Aetna PPO	Amerihealth Caritas	Anthem HMO	Anthem Medicaid	Anthem Medicare	Anthem PPO	Buckeye	Buckeye MyCare OH Medicare	CareSource	CIGNA	CIGNA PPO	FrontPath	HAP	HAP Senior Plus	Health Ohio Network	Meridian	MMO SuperMed	OH Health Choice	Ohio PPO Connect	Paramount Elite	Paramount HMO	Tricare	UHC	UHC Ohio Medicaid	VA CCN Optum
2/15/2024	CDM	1	10000002	PBB IMMUNIZADMINEACH ADDL		IP		90472	    	771	196	127.4	19.6	196	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	105.25	87.81	123.48	N/A	N/A	94.08	N/A	N/A	147	101.92	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	2	10000002	PBB IMMUNIZADMINEACH ADDL		OP		90472	    	771	196	127.4	16.13	196	17.42	196	151.51	N/A	159.15	N/A	161.11	196	N/A	196	N/A	N/A	196	N/A	196	110.74	87.81	98	137.2	N/A	94.08	16.45	80.16	147	101.92	N/A	60.76	196	90.55	196	N/A
2/15/2024	CDM	3	10000008	PBB ROTATEQ VACCINE MED		IP		90680	    	636	192	124.8	19.2	550	550	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	N/A	86.02	120.96	N/A	N/A	92.16	N/A	N/A	144	99.84	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	4	10000008	PBB ROTATEQ VACCINE MED		OP		90680	    	636	192	124.8	19.2	192	N/A	192	148.42	32.64	155.9	N/A	157.82	192	N/A	192	N/A	N/A	192	N/A	192	111.5	86.02	96	134.4	N/A	92.16	N/A	78.53	144	99.84	N/A	59.52	192	88.7	192	N/A
2/15/2024	CDM	5	10000009	PBB INFLUENZA VAC 4 VALENT PRSRV FREE 3 YRS PLUS		IP		90686	    	636	41	26.65	4.1	550	550	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	N/A	18.37	25.83	N/A	N/A	19.68	N/A	N/A	30.75	21.32	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6	10000009	PBB INFLUENZA VAC 4 VALENT PRSRV FREE 3 YRS PLUS		OP		90686	    	636	41	26.65	4.1	79.79	24.14	41	31.69	11.25	33.29	14.9	33.7	41	79.79	41	11.25	79.79	41	14.9	41	23.41	18.37	20.5	28.7	11.47	19.68	22.8	42.22	30.75	21.32	10.97	12.71	21.23	18.94	41	11.48
2/15/2024	CDM	7	10000010	PBB TDAP VACCINE MED		IP		90715	    	636	102	66.3	10.2	550	550	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	N/A	45.7	64.26	N/A	N/A	48.96	N/A	N/A	76.5	53.04	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	8	10000010	PBB TDAP VACCINE MED		OP		90715	    	636	102	66.3	0.01	102	0.01	102	78.85	N/A	82.82	N/A	83.84	102	N/A	102	N/A	N/A	102	N/A	102	55.2	45.7	51	71.4	N/A	48.96	0.01	84.63	76.5	53.04	N/A	31.62	102	47.12	102	N/A
2/15/2024	CDM	9	10000013	PBB NEW PATIENT AGE 1839 WITH Q0091 AND G0101		IP		99395	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	77.33	64.51	90.72	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	10	10000013	PBB NEW PATIENT AGE 1839 WITH Q0091 AND G0101		OP		99395	    	761	144	93.6	14.4	144	72.84	144	111.31	24.48	116.93	N/A	118.37	144	N/A	144	N/A	N/A	144	N/A	144	81.36	64.51	72	100.8	N/A	69.12	68.79	57.6	108	74.88	N/A	44.64	80.07	0	144	N/A
2/15/2024	CDM	11	10000014	PBB NEW PATIENT AGE 4064 WITH Q0091 AND G0101		IP		99396	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	77.33	64.51	90.72	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	12	10000014	PBB NEW PATIENT AGE 4064 WITH Q0091 AND G0101		OP		99396	    	761	144	93.6	14.4	144	72.84	144	111.31	24.48	116.93	N/A	118.37	144	N/A	144	N/A	N/A	144	N/A	144	81.36	64.51	72	100.8	N/A	69.12	68.79	57.6	108	74.88	N/A	44.64	86.66	0	144	N/A
2/15/2024	CDM	13	10000015	PBB NEW PATIENT AGE OVER 65 ONLY G0101		IP		99397	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	77.33	64.51	90.72	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	14	10000015	PBB NEW PATIENT AGE OVER 65 ONLY G0101		OP		99397	    	761	144	93.6	14.4	144	72.84	144	111.31	24.48	116.93	N/A	118.37	144	N/A	144	N/A	N/A	144	N/A	144	81.36	64.51	72	100.8	N/A	69.12	68.79	57.6	108	74.88	N/A	44.64	91.1	0	144	N/A
2/15/2024	CDM	15	10000016	PBB NEW PATIENT AGE OVER 65 WITH Q0091 AND G0101		IP		99397	    	761	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	77.33	64.51	90.72	N/A	N/A	69.12	N/A	N/A	108	74.88	N/A	N/A	N/A	N/A	N/A	N/A
