	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																													
	EPIC - ProMedica Toledo Hospital		2.0.0				TRUE|FALSE																																													
last_updated_on	Line Type	Line ID	Charge Code/Package	Charge Description	DRG	Patient Type	POS	CPT	Modifiers	Rev Code	Gross Charges	Discounted Cash Price	De-Identified Minimum	De-Identified Maximum	Aetna Better Health of Michigan	Aetna Better Health of Ohio	Aetna HMO/POS	Aetna Medicare	Aetna Meritain	Aetna MyCare OH Medicare	Aetna PPO	Amerihealth Caritas	Anthem HMO	Anthem Medicaid	Anthem Medicare	Anthem PPO	BCN Advantage	Blue Care Network	Buckeye	Buckeye MyCare OH Medicare	CareSource	CIGNA	FrontPath	HAP	HAP Senior Plus	Health Alliance Plan PPO	Health Ohio Network	Meridian	MMO SuperMed	OH Health Choice	Ohio PPO Connect	Paramount Elite	Paramount HMO	Paramount PPO	Priority Health	Priority Health PPO	Priority Medicare	Tricare	UHC	UHC Ohio Medicaid	UHC Michigan Medicaid	VA CCN Optum
2/15/2024	CDM	1	10000002	PBB IMMUNIZADMINEACH ADDL		IP		90472	    	771	196	127.4	19.6	196	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	98	N/A	N/A	N/A	84.08	97.02	N/A	N/A	N/A	94.08	N/A	N/A	147	101.92	N/A	N/A	N/A	N/A	156.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	2	10000002	PBB IMMUNIZADMINEACH ADDL		OP		90472	    	771	196	127.4	16.13	196	17.42	196	151.51	N/A	161.11	N/A	161.11	196	N/A	196	N/A	N/A	N/A	98	196	N/A	196	82.52	90.16	137.2	N/A	137.2	94.08	16.45	74.87	147	101.92	N/A	47.04	47.04	123.48	156.8	N/A	196	81.93	196	16.13	N/A
2/15/2024	CDM	3	10000004	PBB HEP A PEDS ADOLSES 2 DOSE MED		IP		90633	    	250	0.01	0.01	0.01	0.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0.01	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.01	0.01	N/A	N/A	N/A	N/A	0.01	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	4	10000004	PBB HEP A PEDS ADOLSES 2 DOSE MED		OP		90633	    	250	0.01	0.01	0.01	0.01	N/A	0.01	0.01	N/A	0.01	N/A	0.01	0.01	N/A	0.01	N/A	N/A	N/A	0.01	0.01	N/A	0.01	N/A	N/A	0.01	N/A	0.01	N/A	N/A	0	0.01	0.01	N/A	N/A	N/A	0.01	0.01	N/A	0.01	0	0.01	N/A	N/A
2/15/2024	CDM	5	10000005	PBB HIB CONNAUGHT 4 DOSE MED		IP		90648	    	250	63	40.95	6.3	63	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	31.5	N/A	N/A	N/A	27.03	31.18	N/A	N/A	N/A	30.24	N/A	N/A	47.25	32.76	N/A	N/A	N/A	N/A	50.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	6	10000005	PBB HIB CONNAUGHT 4 DOSE MED		OP		90648	    	250	63	40.95	6.3	63	N/A	63	48.7	N/A	51.79	N/A	51.79	63	N/A	63	N/A	N/A	N/A	31.5	63	N/A	63	26.52	28.98	44.1	N/A	44.1	30.24	N/A	22.11	47.25	32.76	N/A	15.12	15.12	39.69	50.4	N/A	63	0	63	N/A	N/A
2/15/2024	CDM	7	10000006	PBB HPV VACCINE MED		IP		90649	    	250	328	213.2	32.8	328	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	164	N/A	N/A	N/A	140.71	162.36	N/A	N/A	N/A	157.44	N/A	N/A	246	170.56	N/A	N/A	N/A	N/A	262.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	8	10000006	PBB HPV VACCINE MED		OP		90649	    	250	328	213.2	32.8	328	N/A	328	253.54	78.72	269.62	N/A	269.62	328	N/A	328	N/A	N/A	N/A	164	328	N/A	328	138.09	150.88	229.6	N/A	229.6	157.44	N/A	125.3	246	170.56	N/A	78.72	78.72	206.64	262.4	N/A	311.6	0	328	N/A	N/A
